group,start,end,title
1,1,1.99,The Way Back
1,2,2.99,Space Fall
1,3,3.99,Cygnus Alpha
1,4,4.99,Time Squad
1,5,5.99,The Web
1,6,6.99,Seek-Locate-Destroy
1,7,7.99,Mission to Destiny
1,8,8.99,Duel
1,9,9.99,Project Avalon
1,10,10.99,Breakdown
1,11,11.99,Bounty
1,12,12.99,Deliverance
1,13,13.99,Orac
2,14,14.99,Redemption
2,15,15.99,Shadow
2,16,16.99,Weapon
2,17,17.99,Horizon
2,18,18.99,Pressure Point
2,19,19.99,Trial
2,20,20.99,Killer
2,21,21.99,Hostage
2,22,22.99,Countdown
2,23,23.99,Voice from the Past
2,24,24.99,Gambit
2,25,25.99,The Keeper
2,26,26.99,Star One
3,27,27.99,Aftermath
3,28,28.99,Powerplay
3,29,29.99,Volcano
3,30,30.99,Dawn of the Gods
3,31,31.99,Harvest of Kairos
3,32,32.99,The City on the Edge of the World
3,33,33.99,Children of Auron
3,34,34.99,Rumors of Death
3,35,35.99,Sarcophagus
3,36,36.99,Ultraworld
3,37,37.99,Moloch
3,38,38.99,Death-Watch
3,39,39.99,Terminal
3,40,40.99,Rescue
3,41,41.99,Power
4,42,42.99,Traitor
4,43,43.99,Stardrive
4,44,44.99,Animals
4,45,45.99,Headhunter
4,46,46.99,Assassin
4,47,47.99,Games
4,48,48.99,Sand
4,49,49.99,Gold
4,50,50.99,Orbit
4,51,51.99,Warlord
4,52,52.99,Blake
